HITId,candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,ID
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",bald,"[""eagle"", ""ash""]",0,2,0,5,1.0,0.0,0
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",plush,"[""teepee"", ""ash""]",0,2,1,5,1.0,0.0,1
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",diagonal,"[""card"", ""cut"", ""postman""]",50,3,6,6,1.0,0.0,2
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",spend,"[""card"", ""outfit""]",67,2,7,6,1.0,0.0,3
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",game,"[""card"", ""spades""]",67,2,8,6,1.0,0.0,4
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",angle,"[""outfit"", ""cut"", ""postman""]",50,3,9,6,1.0,0.0,5
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",brown,"[""disc"", ""yak""]",0,2,13,6,1.0,0.0,6
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",drive,"[""disc"", ""spy""]",100,2,15,6,1.0,0.0,7
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",charge,"[""disc"", ""yak""]",100,2,16,6,0.83,0.24,8
3MGHRFQY2LBDOY9FKBGT3RU1H9XY06,"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",circular,"[""drugs"", ""film"", ""venus""]",50,3,18,5,1.0,0.0,9
3MGHRFQY2LBDOY9FKBGT3RU1H9XY06,"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",depression,"[""drugs"", ""puppy""]",100,2,19,5,1.0,0.0,10
